movie_code,movieNm,movieNmEn,movieNmOg,openDt,showTm,genres,directors,watchGradeNm,actor_01,actor_02,actor_03
20184105,말모이,MAL·MO·E: The Secret Mission,드라마,20190109,135,,엄유나,12세이상관람가,유해진,윤계상,우현
20176251,내안의 그놈,Inside me,판타지 코미디,20190109,122,,강효진,15세이상관람가,박성웅,진영,이수민
20189463,주먹왕 랄프 2: 인터넷 속으로,Ralph Breaks the Internet,애니메이션 어드벤처 코미디 가족,20190103,112,,리치 무어,전체관람가,존 C. 라일리,사라 실버맨,크리스틴 벨
20180290,아쿠아맨,AQUAMAN,액션,20181219,143,,제임스 완,12세이상관람가,제이슨 모모아,앰버 허드,패트릭 윌슨
20183915,극장판 공룡메카드: 타이니소어의 섬,,애니메이션,20190110,70,,최신규,전체관람가,,,
20185485,보헤미안 랩소디,Bohemian Rhapsody,드라마,20181031,134,,브라이언 싱어,12세이상관람가,레미 맬렉,조셉 마젤로,루시 보인턴
20184574,그린 북,Green Book,드라마,20190109,130,,피터 패럴리,12세이상관람가,비고 모텐슨,마허샬라 알리,
20186281,범블비,Bumblebee,액션 어드벤처 SF,20181225,113,,트래비스 나이트,12세이상관람가,헤일리 스테인펠드,파멜라 애들론,피터 쿨렌
20170658,PMC: 더 벙커,Take Point,액션,20181226,124,,김병우,15세이상관람가,하정우,이선균,
20175547,스윙키즈,Swing Kids,드라마,20181219,133,,강형철,12세이상관람가,도경수,박혜수,오정세
20183785,점박이 한반도의 공룡2 : 새로운 낙원,,애니메이션,20181225,93,,한상호,전체관람가,박희순,라미란,
20184187,언니,No Mercy,액션,20190101,93,,임경택,청소년관람불가,이시영,박세완,최진호
20182421,그린치,The Grinch,애니메이션 코미디,20181219,89,,스콧 모시어,전체관람가,베네딕트 컴버배치,,
20168773,마약왕,The Drug King,범죄 드라마,20181219,139,,우민호,청소년관람불가,송강호,조정석,김소진
20183479,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,Crayon Shin-chan: Burst Serving! Kung Fu Boys - Ramen Rebellion,애니메이션,20181219,103,,타카하시 와타루,전체관람가,박영남,강희선,여민정
20183238,스파이더맨: 뉴 유니버스,Spider-Man: Into the Spider-Verse,애니메이션 액션 가족,20181212,116,,밥 퍼시케티,12세이상관람가,샤메익 무어,헤일리 스테인펠드,제이크 존슨
20177552,국가부도의 날,Default,드라마,20181128,114,,최국희,12세이상관람가,김혜수,유아인,조우진
20179230,도어락,Door Lock,스릴러 드라마,20181205,101,,이권,15세이상관람가,공효진,김예원,조복래
